 ,Area,Mean,Min,Max
230,368.391,255,255,255
231,49.119,255,255,255
232,171.916,255,255,255
233,221.035,255,255,255
234,1252.530,255,255,255
235,466.629,255,255,255
236,1006.936,255,255,255
237,73.678,255,255,255
238,49.119,255,255,255
239,49.119,255,255,255
240,2013.872,255,255,255
241,221.035,255,255,255
242,73.678,255,255,255
243,98.238,255,255,255
244,49.119,255,255,255
245,147.356,255,255,255
246,1301.649,255,255,255
247,73.678,255,255,255
248,49.119,255,255,255
249,319.272,255,255,255
250,73.678,255,255,255
251,319.272,255,255,255
252,49.119,255,255,255
253,98.238,255,255,255
254,515.748,255,255,255
255,24.559,255,255,255
256,24.559,255,255,255
257,1203.411,255,255,255
258,49.119,255,255,255
259,122.797,255,255,255
260,270.154,255,255,255
261,49.119,255,255,255
262,466.629,255,255,255
263,98.238,255,255,255
264,761.342,255,255,255
265,294.713,255,255,255
266,122.797,255,255,255
267,147.356,255,255,255
268,1227.971,255,255,255
269,2750.654,255,255,255
270,540.307,255,255,255
271,24.559,255,255,255
272,49.119,255,255,255
273,122.797,255,255,255
274,810.461,255,255,255
275,319.272,255,255,255
276,49.119,255,255,255
277,2087.550,255,255,255
278,319.272,255,255,255
279,4985.560,255,255,255
280,982.376,255,255,255
281,24.559,255,255,255
282,122.797,255,255,255
283,98.238,255,255,255
284,171.916,255,255,255
285,147.356,255,255,255
286,417.510,255,255,255
287,24.559,255,255,255
288,1424.446,255,255,255
289,73.678,255,255,255
290,466.629,255,255,255
291,589.426,255,255,255
292,1620.921,255,255,255
293,245.594,255,255,255
294,712.223,255,255,255
295,24.559,255,255,255
296,196.475,255,255,255
297,196.475,255,255,255
298,540.307,255,255,255
299,245.594,255,255,255
300,417.510,255,255,255
301,49.119,255,255,255
302,663.104,255,255,255
303,24.559,255,255,255
304,442.069,255,255,255
305,49.119,255,255,255
306,147.356,255,255,255
