Labels	0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	99975008.000000	
Step	2.5E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

0.00	5.710E+2	
2.5E04	5.480E+2	
5E04	5.210E+2	
75000.006000	5.260E+2	
1E05	5.220E+2	
1.25E05	5.430E+2	
1.5E05	5.280E+2	
1.75E05	5.400E+2	
2E05	5.370E+2	
2.25E05	5.330E+2	
2.5E05	5.270E+2	
2.75E05	5.220E+2	
3E05	5.400E+2	
3.25E05	5.280E+2	
3.5E05	5.540E+2	
3.75E05	5.550E+2	
4E05	5.520E+2	
4.25E05	4.980E+2	
4.5E05	5.680E+2	
4.75E05	5.410E+2	
5E05	6.260E+2	
5.25E05	1.413E+3	
5.5E05	2.698E+3	
5.75E05	4.809E+3	
6E05	6.816E+3	
6.25E05	8.446E+3	
650000.050000	9.673E+3	
675000.050000	1.065E+4	
700000.050000	1.163E+4	
725000.060000	1.230E+4	
750000.060000	1.304E+4	
775000.060000	1.337E+4	
800000.060000	1.373E+4	
825000.060000	1.393E+4	
850000.070000	1.431E+4	
875000.070000	1.445E+4	
900000.070000	1.451E+4	
925000.070000	1.474E+4	
950000.070000	1.491E+4	
975000.080000	1.489E+4	
1E06	1.473E+4	
1.025E006	1.515E+4	
1.05E06	1.523E+4	
1.075E006	1.534E+4	
1.1E06	1.523E+4	
1.125E006	1.522E+4	
1.15E06	1.506E+4	
1.175E006	1.515E+4	
1.2E06	1.497E+4	
1.225E006	1.524E+4	
1.25E06	1.476E+4	
1.275E006	1.494E+4	
1.3E06	1.491E+4	
1.325E006	1.486E+4	
1.35E06	1.491E+4	
1.375E006	1.457E+4	
1.4E06	1.444E+4	
1.425E006	1.479E+4	
1.45E06	1.445E+4	
1.475E006	1.416E+4	
1.5E06	1.431E+4	
1.525E006	1.427E+4	
1.55E06	1.435E+4	
1.575E006	1.395E+4	
1.6E06	1.398E+4	
1.625E006	1.390E+4	
1.65E06	1.376E+4	
1.675E006	1.366E+4	
1.7E06	1.368E+4	
1.725E006	1.334E+4	
1.75E06	1.331E+4	
1.775E006	1.346E+4	
1.8E06	1.342E+4	
1.825E006	1.344E+4	
1.85E06	1.319E+4	
1.875E006	1.312E+4	
1.9E06	1.308E+4	
1.925E006	1.278E+4	
1.95E06	1.312E+4	
1.975E006	1.277E+4	
2E06	1.263E+4	
2.025E006	1.263E+4	
2.05E06	1.262E+4	
2.075E006	1.252E+4	
2.1E06	1.236E+4	
2.125E006	1.252E+4	
2.15E06	1.245E+4	
2.175E006	1.221E+4	
2.2E06	1.218E+4	
2.225E006	1.211E+4	
2.25E06	1.195E+4	
2.275E006	1.192E+4	
2.3E06	1.165E+4	
2.325E006	1.174E+4	
2.35E06	1.176E+4	
2.375E006	1.161E+4	
2.4E06	1.131E+4	
2.425E006	1.138E+4	
2.45E06	1.152E+4	
2.475E006	1.147E+4	
2.5E06	1.110E+4	
2.525E006	1.118E+4	
2.55E06	1.131E+4	
2.575E006	1.114E+4	
2.6E06	1.104E+4	
2.625E006	1.092E+4	
2.65E06	1.092E+4	
2.675E006	1.079E+4	
2.7E06	1.083E+4	
2.725E006	1.079E+4	
2.75E06	1.052E+4	
2.775E006	1.047E+4	
2.8E06	1.035E+4	
2.825E006	1.042E+4	
2.85E06	1.034E+4	
2.875E006	1.039E+4	
2.9E06	1.012E+4	
2.925E006	1.037E+4	
2.95E06	1.010E+4	
2.975E006	1.006E+4	
3E06	9.951E+3	
3.025E006	1.001E+4	
3.05E06	9.724E+3	
3.075E006	9.809E+3	
3.1E06	9.776E+3	
3.125E006	9.682E+3	
3.15E06	9.656E+3	
3.175E006	9.571E+3	
3.2E06	9.604E+3	
3.225E006	9.398E+3	
3.25E06	9.324E+3	
3.275E006	9.231E+3	
3.3E06	9.299E+3	
3.325E006	9.153E+3	
3.35E06	9.173E+3	
3.375E006	8.961E+3	
3.4E06	9.075E+3	
3.425E006	8.926E+3	
3.45E06	8.956E+3	
3.475E006	9.001E+3	
3.5E06	8.873E+3	
3.525E006	8.987E+3	
3.55E06	8.785E+3	
3.575E006	8.651E+3	
3.6E06	8.735E+3	
3.625E006	8.605E+3	
3.65E06	8.431E+3	
3.675E006	8.606E+3	
3.7E06	8.392E+3	
3.725E006	8.535E+3	
3.75E06	8.236E+3	
3.775E006	8.270E+3	
3.8E06	8.093E+3	
3.825E006	8.213E+3	
3.85E06	8.148E+3	
3.875E006	8.063E+3	
3.9E06	7.833E+3	
3.925E006	7.946E+3	
3.95E06	7.948E+3	
3.975E006	7.779E+3	
4E06	8.032E+3	
4.025E006	7.708E+3	
4.05E06	7.781E+3	
4.075E006	7.641E+3	
4.1E06	7.732E+3	
4.125E006	7.592E+3	
4.15E06	7.466E+3	
4.175E006	7.504E+3	
4.2E06	7.446E+3	
4.225E006	7.403E+3	
4.25E06	7.223E+3	
4.275E006	7.485E+3	
4.3E06	7.170E+3	
4.325E006	7.324E+3	
4.35E06	7.230E+3	
4.375E006	7.283E+3	
4.4E06	7.119E+3	
4.425E006	7.054E+3	
4.45E06	7.016E+3	
4.475E006	6.988E+3	
4.5E06	6.876E+3	
4.525E006	6.886E+3	
4.55E06	6.934E+3	
4.575E006	6.917E+3	
4.6E06	6.754E+3	
4.625E006	6.791E+3	
4.65E06	6.750E+3	
4.675E006	6.641E+3	
4.7E06	6.578E+3	
4.725E006	6.657E+3	
4.75E06	6.546E+3	
4.775E006	6.588E+3	
4.8E06	6.664E+3	
4.825E006	6.463E+3	
4.85E06	6.290E+3	
