Air (400mA 1ms)

Labels,Decay64,Decay64F1,Decay64F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.095E+3, , ,
1E05,4.272E+3, , ,
2E05,5.070E+3, , ,
3E05,5.693E+3, , ,
4E05,6.471E+3, , ,
5E05,7.005E+3, , ,
6E05,7.673E+3, , ,
700000.050000,8.219E+3, , ,
800000.060000,8.864E+3, , ,
900000.070000,9.535E+3, , ,
1E06,1.014E+4, , ,
1.1E06,9.614E+3,9.334E+3,2.854E+0,
1.2E06,9.563E+3,9.284E+3,2.852E+0,
1.3E06,9.475E+3,9.234E+3,2.472E+0,
1.4E06,9.271E+3,9.185E+3,8.927E-1,
1.5E06,9.328E+3,9.136E+3,1.986E+0,
1.6E06,9.191E+3,9.088E+3,1.078E+0,
1.7E06,9.191E+3,9.040E+3,1.580E+0,
1.8E06,9.025E+3,8.992E+3,3.494E-1,
1.9E06,8.906E+3,8.944E+3,-4.077E-1,
2E06,8.846E+3,8.898E+3,-5.479E-1,
2.1E06,8.958E+3,8.851E+3,1.131E+0,
2.2E06,8.750E+3,8.805E+3,-5.856E-1,
2.3E06,8.720E+3,8.759E+3,-4.173E-1,
2.4E06,8.691E+3,8.714E+3,-2.416E-1,
2.5E06,8.628E+3,8.668E+3,-4.356E-1,
2.6E06,8.818E+3,8.624E+3,2.069E+0,
2.7E06,8.602E+3,8.579E+3,2.435E-1,
2.8E06,8.574E+3,8.535E+3,4.165E-1,
2.9E06,8.378E+3,8.492E+3,-1.243E+0,
3E06,8.412E+3,8.449E+3,-3.985E-1,
3.1E06,8.383E+3,8.406E+3,-2.472E-1,
3.2E06,8.315E+3,8.363E+3,-5.271E-1,
3.3E06,8.296E+3,8.321E+3,-2.728E-1,
3.4E06,8.396E+3,8.279E+3,1.277E+0,
3.5E06,8.209E+3,8.237E+3,-3.138E-1,
3.6E06,8.195E+3,8.196E+3,-1.366E-2,
3.7E06,8.114E+3,8.155E+3,-4.593E-1,
3.8E06,8.066E+3,8.115E+3,-5.438E-1,
3.9E06,8.045E+3,8.075E+3,-3.304E-1,
