Air (400mA 10ms)

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.46E07,4.586E+4,4.600E+4,-6.344E-1,
1.47E07,4.577E+4,4.566E+4,5.021E-1,
1.48E07,4.507E+4,4.532E+4,-1.192E+0,
1.49E07,4.507E+4,4.499E+4,3.670E-1,
1.5E07,4.451E+4,4.466E+4,-6.911E-1,
1.51E07,4.440E+4,4.433E+4,3.267E-1,
1.52E07,4.366E+4,4.400E+4,-1.642E+0,
1.53E07,4.395E+4,4.368E+4,1.275E+0,
1.54E07,4.336E+4,4.336E+4,2.026E-2,
1.55E07,4.270E+4,4.304E+4,-1.657E+0,
1.56E07,4.274E+4,4.272E+4,8.412E-2,
1.57E07,4.235E+4,4.241E+4,-2.978E-1,
1.58E07,4.217E+4,4.210E+4,3.630E-1,
1.59E07,4.161E+4,4.179E+4,-8.729E-1,
1.6E07,4.186E+4,4.148E+4,1.813E+0,
1.61E07,4.134E+4,4.118E+4,7.986E-1,
1.62E07,4.095E+4,4.088E+4,3.433E-1,
1.63E07,4.041E+4,4.058E+4,-8.746E-1,
1.64E07,4.015E+4,4.028E+4,-6.761E-1,
1.65E07,3.989E+4,3.999E+4,-5.130E-1,
1.66E07,3.980E+4,3.970E+4,5.273E-1,
1.67E07,3.963E+4,3.941E+4,1.113E+0,
1.68E07,3.916E+4,3.912E+4,1.851E-1,
1.69E07,3.881E+4,3.884E+4,-1.654E-1,
1.7E07,3.870E+4,3.856E+4,7.368E-1,
1.71E07,3.839E+4,3.827E+4,5.729E-1,
1.72E07,3.795E+4,3.800E+4,-2.550E-1,
1.73E07,3.767E+4,3.772E+4,-2.618E-1,
1.74E07,3.737E+4,3.745E+4,-4.249E-1,
1.75E07,3.709E+4,3.718E+4,-4.706E-1,
1.76E07,3.670E+4,3.691E+4,-1.056E+0,
1.77E07,3.671E+4,3.664E+4,3.860E-1,
1.78E07,3.652E+4,3.637E+4,7.435E-1,
1.79E07,3.588E+4,3.611E+4,-1.214E+0,
1.8E07,3.576E+4,3.585E+4,-5.024E-1,
1.81E07,3.570E+4,3.559E+4,5.973E-1,
1.82E07,3.510E+4,3.533E+4,-1.278E+0,
1.83E07,3.472E+4,3.508E+4,-1.940E+0,
1.84E07,3.497E+4,3.483E+4,7.390E-1,
1.85E07,3.477E+4,3.458E+4,1.040E+0,
