Water (400mA 10ms)

Labels,Decay60,Decay60F1,Decay60F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.46E07,4.379E+4,4.396E+4,-8.202E-1,
1.47E07,4.367E+4,4.363E+4,1.844E-1,
1.48E07,4.286E+4,4.331E+4,-2.139E+0,
1.49E07,4.317E+4,4.299E+4,8.808E-1,
1.5E07,4.247E+4,4.267E+4,-9.737E-1,
1.51E07,4.190E+4,4.235E+4,-2.193E+0,
1.52E07,4.206E+4,4.203E+4,1.189E-1,
1.53E07,4.189E+4,4.172E+4,8.018E-1,
1.54E07,4.147E+4,4.141E+4,2.520E-1,
1.55E07,4.116E+4,4.111E+4,2.517E-1,
1.56E07,4.089E+4,4.080E+4,4.121E-1,
1.57E07,4.041E+4,4.050E+4,-4.668E-1,
1.58E07,4.020E+4,4.020E+4,-7.150E-3,
1.59E07,3.989E+4,3.990E+4,-9.729E-2,
1.6E07,3.981E+4,3.961E+4,1.003E+0,
1.61E07,3.888E+4,3.932E+4,-2.245E+0,
1.62E07,3.904E+4,3.903E+4,4.733E-2,
1.63E07,3.848E+4,3.874E+4,-1.351E+0,
1.64E07,3.845E+4,3.845E+4,-4.486E-2,
1.65E07,3.787E+4,3.817E+4,-1.551E+0,
1.66E07,3.812E+4,3.789E+4,1.157E+0,
1.67E07,3.728E+4,3.761E+4,-1.712E+0,
1.68E07,3.746E+4,3.734E+4,6.488E-1,
1.69E07,3.676E+4,3.706E+4,-1.577E+0,
1.7E07,3.713E+4,3.679E+4,1.741E+0,
1.71E07,3.632E+4,3.652E+4,-1.065E+0,
1.72E07,3.595E+4,3.625E+4,-1.622E+0,
1.73E07,3.621E+4,3.599E+4,1.171E+0,
1.74E07,3.582E+4,3.573E+4,5.123E-1,
1.75E07,3.528E+4,3.546E+4,-9.581E-1,
1.76E07,3.549E+4,3.520E+4,1.497E+0,
1.77E07,3.468E+4,3.495E+4,-1.434E+0,
1.78E07,3.495E+4,3.469E+4,1.395E+0,
1.79E07,3.441E+4,3.444E+4,-1.589E-1,
1.8E07,3.413E+4,3.419E+4,-3.504E-1,
1.81E07,3.381E+4,3.394E+4,-7.069E-1,
1.82E07,3.367E+4,3.369E+4,-1.539E-1,
1.83E07,3.362E+4,3.345E+4,9.029E-1,
1.84E07,3.327E+4,3.321E+4,3.253E-1,
1.85E07,3.288E+4,3.297E+4,-4.567E-1,
1.86E07,3.249E+4,3.273E+4,-1.303E+0,
1.87E07,3.254E+4,3.249E+4,2.778E-1,
1.88E07,3.222E+4,3.225E+4,-2.050E-1,
1.89E07,3.211E+4,3.202E+4,4.767E-1,
1.9E07,3.199E+4,3.179E+4,1.100E+0,
1.91E07,3.153E+4,3.156E+4,-1.619E-1,
1.92E07,3.133E+4,3.133E+4,-1.195E-2,
1.93E07,3.111E+4,3.111E+4,9.623E-3,
1.94E07,3.095E+4,3.088E+4,3.507E-1,
1.95E07,3.053E+4,3.066E+4,-7.733E-1,
1.96E07,3.032E+4,3.044E+4,-6.931E-1,
1.97E07,3.034E+4,3.022E+4,6.715E-1,
1.98E07,3.024E+4,3.001E+4,1.345E+0,
1.99E07,2.983E+4,2.979E+4,2.143E-1,
2E07,2.937E+4,2.958E+4,-1.194E+0,
2.01E07,2.927E+4,2.936E+4,-5.369E-1,
2.02E07,2.906E+4,2.915E+4,-5.740E-1,
2.03E07,2.893E+4,2.895E+4,-1.089E-1,
2.04E07,2.860E+4,2.874E+4,-8.152E-1,
2.05E07,2.853E+4,2.853E+4,-3.477E-2,
2.06E07,2.814E+4,2.833E+4,-1.118E+0,
2.07E07,2.796E+4,2.813E+4,-1.028E+0,
2.08E07,2.805E+4,2.793E+4,6.884E-1,
2.09E07,2.787E+4,2.773E+4,8.552E-1,
2.1E07,2.745E+4,2.753E+4,-5.089E-1,
2.11E07,2.742E+4,2.734E+4,4.590E-1,
2.12E07,2.718E+4,2.715E+4,2.168E-1,
2.13E07,2.680E+4,2.695E+4,-9.288E-1,
2.14E07,2.676E+4,2.676E+4,-3.919E-2,
2.15E07,2.675E+4,2.657E+4,1.087E+0,
2.16E07,2.642E+4,2.639E+4,2.295E-1,
2.17E07,2.593E+4,2.620E+4,-1.649E+0,
2.18E07,2.587E+4,2.601E+4,-9.077E-1,
2.19E07,2.580E+4,2.583E+4,-2.171E-1,
2.2E07,2.568E+4,2.565E+4,1.796E-1,
2.21E07,2.501E+4,2.547E+4,-2.934E+0,
2.22E07,2.527E+4,2.529E+4,-1.276E-1,
2.23E07,2.500E+4,2.511E+4,-7.398E-1,
2.24E07,2.499E+4,2.494E+4,2.968E-1,
2.25E07,2.486E+4,2.476E+4,5.987E-1,
2.26E07,2.438E+4,2.459E+4,-1.348E+0,
2.27E07,2.430E+4,2.442E+4,-7.367E-1,
2.28E07,2.445E+4,2.425E+4,1.314E+0,
2.29E07,2.400E+4,2.408E+4,-5.138E-1,
2.3E07,2.402E+4,2.391E+4,6.774E-1,
2.31E07,2.369E+4,2.375E+4,-3.884E-1,
2.32E07,2.351E+4,2.358E+4,-4.949E-1,
2.33E07,2.340E+4,2.342E+4,-9.999E-2,
2.34E07,2.325E+4,2.326E+4,-4.610E-2,
2.35E07,2.352E+4,2.309E+4,2.784E+0,
2.36E07,2.295E+4,2.293E+4,8.984E-2,
2.37E07,2.276E+4,2.278E+4,-9.281E-2,
2.38E07,2.221E+4,2.262E+4,-2.777E+0,
