Air (400mA)

Labels,Decay49,Decay49F1,Decay49F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.09E07,7.278E+3,7.172E+3,1.244E+0,
1.1E07,7.145E+3,7.139E+3,6.883E-2,
1.11E07,7.137E+3,7.107E+3,3.581E-1,
1.12E07,6.996E+3,7.075E+3,-9.394E-1,
1.13E07,7.195E+3,7.043E+3,1.796E+0,
1.14E07,6.938E+3,7.011E+3,-8.766E-1,
1.15E07,6.975E+3,6.980E+3,-5.533E-2,
1.16E07,7.029E+3,6.948E+3,9.604E-1,
1.17E07,6.851E+3,6.918E+3,-8.046E-1,
1.18E07,6.918E+3,6.887E+3,3.732E-1,
1.19E07,6.857E+3,6.857E+3,5.213E-3,
1.2E07,6.892E+3,6.826E+3,7.899E-1,
1.21E07,6.827E+3,6.797E+3,3.688E-1,
1.22E07,6.861E+3,6.767E+3,1.136E+0,
1.23E07,6.745E+3,6.737E+3,9.181E-2,
1.24E07,6.669E+3,6.708E+3,-4.810E-1,
1.25E07,6.719E+3,6.679E+3,4.838E-1,
1.26E07,6.642E+3,6.651E+3,-1.060E-1,
1.27E07,6.596E+3,6.622E+3,-3.222E-1,
1.28E07,6.701E+3,6.594E+3,1.308E+0,
1.29E07,6.434E+3,6.566E+3,-1.645E+0,
1.3E07,6.457E+3,6.538E+3,-1.010E+0,
1.31E07,6.607E+3,6.511E+3,1.186E+0,
1.32E07,6.605E+3,6.483E+3,1.498E+0,
1.33E07,6.332E+3,6.456E+3,-1.560E+0,
1.34E07,6.447E+3,6.429E+3,2.214E-1,
1.35E07,6.531E+3,6.403E+3,1.589E+0,
1.36E07,6.257E+3,6.376E+3,-1.506E+0,
1.37E07,6.238E+3,6.350E+3,-1.416E+0,
1.38E07,6.246E+3,6.324E+3,-9.846E-1,
1.39E07,6.290E+3,6.298E+3,-1.008E-1,
1.4E07,6.043E+3,6.272E+3,-2.951E+0,
1.41E07,6.320E+3,6.247E+3,9.185E-1,
1.42E07,6.240E+3,6.222E+3,2.307E-1,
1.43E07,6.099E+3,6.197E+3,-1.252E+0,
1.44E07,6.121E+3,6.172E+3,-6.518E-1,
1.45E07,6.078E+3,6.147E+3,-8.902E-1,
1.46E07,5.976E+3,6.123E+3,-1.902E+0,
1.47E07,6.122E+3,6.099E+3,2.962E-1,
1.48E07,5.973E+3,6.075E+3,-1.318E+0,
1.49E07,6.058E+3,6.051E+3,8.965E-2,
1.5E07,5.954E+3,6.027E+3,-9.514E-1,
1.51E07,5.947E+3,6.004E+3,-7.391E-1,
1.52E07,5.899E+3,5.981E+3,-1.065E+0,
1.53E07,5.785E+3,5.958E+3,-2.271E+0,
1.54E07,5.907E+3,5.935E+3,-3.627E-1,
1.55E07,5.799E+3,5.912E+3,-1.487E+0,
1.56E07,5.834E+3,5.890E+3,-7.296E-1,
1.57E07,5.824E+3,5.867E+3,-5.690E-1,
