Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.09E07,7.114E+3,7.085E+3,3.421E-1,
1.1E07,7.137E+3,7.053E+3,9.950E-1,
1.11E07,7.099E+3,7.021E+3,9.258E-1,
1.12E07,6.979E+3,6.989E+3,-1.235E-1,
1.13E07,7.073E+3,6.958E+3,1.369E+0,
1.14E07,6.790E+3,6.927E+3,-1.659E+0,
1.15E07,6.719E+3,6.896E+3,-2.157E+0,
1.16E07,7.018E+3,6.865E+3,1.824E+0,
1.17E07,6.769E+3,6.835E+3,-7.996E-1,
1.18E07,6.722E+3,6.805E+3,-1.008E+0,
1.19E07,6.815E+3,6.775E+3,4.877E-1,
1.2E07,6.760E+3,6.745E+3,1.814E-1,
1.21E07,6.616E+3,6.716E+3,-1.225E+0,
1.22E07,6.644E+3,6.687E+3,-5.215E-1,
1.23E07,6.591E+3,6.658E+3,-8.202E-1,
1.24E07,6.586E+3,6.629E+3,-5.286E-1,
1.25E07,6.556E+3,6.600E+3,-5.489E-1,
1.26E07,6.460E+3,6.572E+3,-1.396E+0,
1.27E07,6.490E+3,6.544E+3,-6.733E-1,
1.28E07,6.478E+3,6.516E+3,-4.782E-1,
1.29E07,6.414E+3,6.489E+3,-9.360E-1,
1.3E07,6.279E+3,6.462E+3,-2.305E+0,
1.31E07,6.339E+3,6.435E+3,-1.201E+0,
1.32E07,6.468E+3,6.408E+3,7.493E-1,
1.33E07,6.334E+3,6.381E+3,-5.919E-1,
1.34E07,6.477E+3,6.355E+3,1.520E+0,
1.35E07,6.324E+3,6.329E+3,-5.667E-2,
1.36E07,6.343E+3,6.303E+3,5.082E-1,
1.37E07,6.312E+3,6.277E+3,4.435E-1,
1.38E07,6.192E+3,6.251E+3,-7.525E-1,
1.39E07,6.089E+3,6.226E+3,-1.754E+0,
1.4E07,6.114E+3,6.201E+3,-1.109E+0,
1.41E07,5.846E+3,6.176E+3,-4.314E+0,
1.42E07,6.183E+3,6.151E+3,4.057E-1,
1.43E07,6.102E+3,6.127E+3,-3.147E-1,
1.44E07,6.114E+3,6.102E+3,1.501E-1,
1.45E07,6.014E+3,6.078E+3,-8.272E-1,
1.46E07,5.946E+3,6.054E+3,-1.404E+0,
1.47E07,6.133E+3,6.031E+3,1.309E+0,
1.48E07,5.949E+3,6.007E+3,-7.519E-1,
1.49E07,5.978E+3,5.984E+3,-7.327E-2,
1.5E07,5.940E+3,5.961E+3,-2.663E-1,
1.51E07,6.049E+3,5.938E+3,1.433E+0,
1.52E07,5.747E+3,5.915E+3,-2.214E+0,
1.53E07,6.082E+3,5.892E+3,2.433E+0,
1.54E07,5.808E+3,5.870E+3,-8.118E-1,
1.55E07,5.824E+3,5.848E+3,-3.101E-1,
1.56E07,5.801E+3,5.826E+3,-3.237E-1,
1.57E07,5.899E+3,5.804E+3,1.239E+0,
1.58E07,5.761E+3,5.782E+3,-2.788E-1,
1.59E07,5.850E+3,5.761E+3,1.168E+0,
1.6E07,5.883E+3,5.739E+3,1.872E+0,
1.61E07,5.575E+3,5.718E+3,-1.919E+0,
1.62E07,5.536E+3,5.697E+3,-2.168E+0,
1.63E07,5.652E+3,5.677E+3,-3.262E-1,
1.64E07,5.747E+3,5.656E+3,1.201E+0,
1.65E07,5.603E+3,5.635E+3,-4.339E-1,
1.66E07,5.674E+3,5.615E+3,7.805E-1,
1.67E07,5.560E+3,5.595E+3,-4.708E-1,
1.68E07,5.583E+3,5.575E+3,1.048E-1,
1.69E07,5.556E+3,5.555E+3,8.110E-3,
1.7E07,5.440E+3,5.536E+3,-1.299E+0,
1.71E07,5.493E+3,5.516E+3,-3.149E-1,
1.72E07,5.486E+3,5.497E+3,-1.492E-1,
1.73E07,5.556E+3,5.478E+3,1.048E+0,
1.74E07,5.496E+3,5.459E+3,4.998E-1,
1.75E07,5.379E+3,5.440E+3,-8.335E-1,
1.76E07,5.402E+3,5.421E+3,-2.649E-1,
1.77E07,5.288E+3,5.403E+3,-1.581E+0,
1.78E07,5.294E+3,5.385E+3,-1.245E+0,
1.79E07,5.396E+3,5.366E+3,4.029E-1,
1.8E07,5.353E+3,5.348E+3,6.356E-2,
1.81E07,5.446E+3,5.330E+3,1.566E+0,
1.82E07,5.182E+3,5.313E+3,-1.815E+0,
1.83E07,5.218E+3,5.295E+3,-1.067E+0,
1.84E07,5.274E+3,5.278E+3,-4.970E-2,
1.85E07,5.244E+3,5.260E+3,-2.249E-1,
1.86E07,5.248E+3,5.243E+3,6.754E-2,
1.87E07,5.169E+3,5.226E+3,-7.938E-1,
1.88E07,5.258E+3,5.209E+3,6.734E-1,
1.89E07,5.220E+3,5.192E+3,3.818E-1,
1.9E07,5.296E+3,5.176E+3,1.652E+0,
1.91E07,5.207E+3,5.159E+3,6.609E-1,
1.92E07,5.174E+3,5.143E+3,4.315E-1,
1.93E07,5.133E+3,5.127E+3,8.729E-2,
1.94E07,5.235E+3,5.111E+3,1.718E+0,
1.95E07,5.128E+3,5.095E+3,4.648E-1,
1.96E07,5.196E+3,5.079E+3,1.624E+0,
1.97E07,5.076E+3,5.063E+3,1.794E-1,
1.98E07,5.038E+3,5.048E+3,-1.361E-1,
1.99E07,5.032E+3,5.032E+3,-3.263E-3,
2E07,5.095E+3,5.017E+3,1.094E+0,
2.01E07,5.026E+3,5.002E+3,3.420E-1,
2.02E07,4.955E+3,4.987E+3,-4.504E-1,
2.03E07,5.072E+3,4.972E+3,1.407E+0,
2.04E07,4.868E+3,4.957E+3,-1.275E+0,
2.05E07,4.898E+3,4.942E+3,-6.329E-1,
2.06E07,4.947E+3,4.928E+3,2.740E-1,
