Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

4.32E07,3.419E+3,3.445E+3,-4.416E-1,
4.33E07,3.432E+3,3.443E+3,-1.808E-1,
4.34E07,3.414E+3,3.440E+3,-4.515E-1,
4.35E07,3.415E+3,3.438E+3,-3.969E-1,
4.36E07,3.474E+3,3.436E+3,6.444E-1,
4.37E07,3.458E+3,3.434E+3,4.105E-1,
4.38E07,3.383E+3,3.432E+3,-8.377E-1,
4.39E07,3.435E+3,3.430E+3,9.205E-2,
4.4E07,3.500E+3,3.428E+3,1.225E+0,
4.41E07,3.469E+3,3.425E+3,7.400E-1,
4.42E07,3.400E+3,3.423E+3,-4.004E-1,
4.43E07,3.448E+3,3.421E+3,4.547E-1,
4.44E07,3.330E+3,3.419E+3,-1.547E+0,
4.45E07,3.463E+3,3.417E+3,7.775E-1,
4.46E07,3.472E+3,3.415E+3,9.632E-1,
4.47E07,3.450E+3,3.413E+3,6.255E-1,
4.48E07,3.346E+3,3.411E+3,-1.129E+0,
4.49E07,3.354E+3,3.409E+3,-9.556E-1,
4.5E07,3.440E+3,3.407E+3,5.557E-1,
4.51E07,3.402E+3,3.405E+3,-5.976E-2,
4.52E07,3.440E+3,3.404E+3,6.209E-1,
4.53E07,3.396E+3,3.402E+3,-9.770E-2,
4.54E07,3.401E+3,3.400E+3,2.022E-2,
