Water (400mA)

Labels,Decay36,Decay36F1,Decay36F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.09E07,5.545E+3,5.590E+3,-6.030E-1,
1.1E07,5.586E+3,5.569E+3,2.229E-1,
1.11E07,5.510E+3,5.549E+3,-5.246E-1,
1.12E07,5.519E+3,5.529E+3,-1.308E-1,
1.13E07,5.565E+3,5.509E+3,7.553E-1,
1.14E07,5.404E+3,5.489E+3,-1.153E+0,
1.15E07,5.409E+3,5.469E+3,-8.161E-1,
1.16E07,5.493E+3,5.449E+3,5.877E-1,
1.17E07,5.361E+3,5.430E+3,-9.428E-1,
1.18E07,5.350E+3,5.411E+3,-8.309E-1,
1.19E07,5.444E+3,5.392E+3,7.092E-1,
1.2E07,5.404E+3,5.373E+3,4.253E-1,
1.21E07,5.422E+3,5.354E+3,9.242E-1,
1.22E07,5.308E+3,5.335E+3,-3.749E-1,
1.23E07,5.171E+3,5.317E+3,-2.028E+0,
1.24E07,5.441E+3,5.299E+3,1.932E+0,
1.25E07,5.362E+3,5.280E+3,1.115E+0,
1.26E07,5.263E+3,5.262E+3,9.827E-3,
1.27E07,5.216E+3,5.244E+3,-3.933E-1,
1.28E07,5.111E+3,5.227E+3,-1.618E+0,
1.29E07,5.061E+3,5.209E+3,-2.081E+0,
1.3E07,5.247E+3,5.192E+3,7.645E-1,
1.31E07,5.180E+3,5.174E+3,7.900E-2,
1.32E07,5.147E+3,5.157E+3,-1.415E-1,
1.33E07,5.097E+3,5.140E+3,-6.040E-1,
1.34E07,5.128E+3,5.123E+3,6.650E-2,
1.35E07,5.097E+3,5.106E+3,-1.329E-1,
1.36E07,5.045E+3,5.090E+3,-6.318E-1,
1.37E07,5.205E+3,5.073E+3,1.824E+0,
1.38E07,5.005E+3,5.057E+3,-7.359E-1,
1.39E07,5.033E+3,5.041E+3,-1.107E-1,
1.4E07,4.906E+3,5.025E+3,-1.696E+0,
1.41E07,4.998E+3,5.009E+3,-1.533E-1,
